year,female,male,gap_pp_male_minus_female
1998,0.24508320726172467,0.338311553619581,9.322834635785632
1999,0.15820642978003385,0.25724931151790054,9.904288173786668
2000,0.15518606492478226,0.26800966962127315,11.282360469649088
2001,0.16179775280898875,0.2993392070484581,13.754145423946937
2002,0.14689709347996857,0.2627956230144723,11.589852953450372
2003,0.16290550070521861,0.2691908713692946,10.628537066407597
2004,0.17261904761904762,0.23386089129529364,6.124184367624602
2005,0.15255423372988103,0.2340166782487839,8.146244451890286
2006,0.1661951909476662,0.23689727463312368,7.0702083685457495
2007,0.16184971098265896,0.2316696113074205,6.981990032476154
2008,0.19664804469273742,0.22800202668468164,3.135398199194422
2009,0.17258064516129032,0.21389365351629502,4.13130083550047
2010,0.19964028776978418,0.1863379987466054,-1.3302289023178786
2011,0.19747416762342135,0.17928065546451882,-1.8193512158902525
2012,0.19870923913043478,0.1711348256116606,-2.7574413518774183
2013,0.18423645320197043,0.20627552914964722,2.2039075947676787
2014,0.13856675587273268,0.2285310401696313,8.996428429689862
2015,0.10983789826718837,0.19017951425554383,8.034161598835546
2016,0.11977454203851573,0.2002553055688527,8.048076353033698
2017,0.1163556531284303,0.2109541077904214,9.45984546619911
2018,0.09450171821305842,0.174375,7.987328178694159
2019,0.08877551020408163,0.17272229322621874,8.39467830221371
2020,0.08284671532846716,0.15469871995004683,7.185200462157967
2021,0.07679576299238662,0.15159500693481276,7.479924394242614
2022,0.10532837670384139,0.1832023575638507,7.787398086000931
