year,policy_topic,policy_topic_label,female,male,gap_pp_male_minus_female
1998,economy,Economy,0.26570048309178745,0.4061284046692607,14.042792157747325
1998,education,Education,0.18666666666666668,0.2982456140350877,11.157894736842103
1998,foreign_policy,Foreign Policy,0.2,0.2611464968152866,6.114649681528661
1998,health,Health,0.2571428571428571,0.3304195804195804,7.32767232767233
1998,security_defense,Security/Defense,0.32,0.3014705882352941,-1.8529411764705905
1999,climate_environment,Climate/Environment,0.14285714285714285,0.1724137931034483,2.9556650246305436
1999,economy,Economy,0.2303370786516854,0.3325499412455934,10.2212862593908
1999,education,Education,0.16778523489932887,0.29320388349514565,12.541864859581677
1999,foreign_policy,Foreign Policy,0.058823529411764705,0.18354430379746836,12.472077438570366
1999,health,Health,0.13945578231292516,0.19923371647509577,5.977793416217062
1999,security_defense,Security/Defense,0.09859154929577464,0.22044088176352705,12.184933246775241
2000,climate_environment,Climate/Environment,0.1016949152542373,0.2097560975609756,10.80611823067383
2000,economy,Economy,0.16986301369863013,0.3504273504273504,18.05643367287203
2000,education,Education,0.1411042944785276,0.2527821939586645,11.167789948013693
2000,foreign_policy,Foreign Policy,0.10204081632653061,0.21296296296296297,11.092214663643235
2000,health,Health,0.22140221402214022,0.22082018927444794,-0.05820247476922835
2000,security_defense,Security/Defense,0.10144927536231885,0.20418848167539266,10.273920631307382
2001,climate_environment,Climate/Environment,0.10416666666666667,0.19708029197080293,9.291362530413625
2001,economy,Economy,0.2364341085271318,0.39281437125748503,15.638026273035324
2001,education,Education,0.06422018348623854,0.29829545454545453,23.4075271059216
2001,foreign_policy,Foreign Policy,0.16666666666666666,0.17391304347826086,0.7246376811594207
2001,health,Health,0.1527777777777778,0.26145038167938933,10.867260390161155
2001,security_defense,Security/Defense,0.18181818181818182,0.23665893271461716,5.484075089643533
2002,climate_environment,Climate/Environment,0.16853932584269662,0.23796033994334279,6.942101410064616
2002,economy,Economy,0.16606498194945848,0.3319070904645477,16.58421085150892
2002,education,Education,0.17032967032967034,0.297029702970297,12.670003264062668
2002,foreign_policy,Foreign Policy,0.10909090909090909,0.2585669781931464,14.947606910223731
2002,health,Health,0.12875536480686695,0.19659442724458204,6.78390624377151
2002,security_defense,Security/Defense,0.22875816993464052,0.24930747922437674,2.054930928973622
2003,climate_environment,Climate/Environment,0.11428571428571428,0.22674418604651161,11.245847176079733
2003,economy,Economy,0.14285714285714285,0.31837738168408114,17.552023882693828
2003,education,Education,0.19736842105263158,0.2572533849129594,5.988496386032782
2003,foreign_policy,Foreign Policy,0.13978494623655913,0.23462414578587698,9.483919954931785
2003,health,Health,0.16715542521994134,0.22610015174506828,5.894472652512695
2003,security_defense,Security/Defense,0.17557251908396945,0.26540880503144654,8.983628594747708
2004,climate_environment,Climate/Environment,0.09090909090909091,0.2532188841201717,16.230979321108077
2004,economy,Economy,0.1643192488262911,0.2856159669649002,12.129671813860913
2004,education,Education,0.18181818181818182,0.22157996146435452,3.9761779646172695
2004,foreign_policy,Foreign Policy,0.12121212121212122,0.25,12.878787878787879
2004,health,Health,0.20075757575757575,0.23867595818815332,3.7918382430577573
2004,security_defense,Security/Defense,0.15492957746478872,0.2314487632508834,7.651918578609468
2005,climate_environment,Climate/Environment,0.16129032258064516,0.24642857142857144,8.513824884792628
2005,economy,Economy,0.16913946587537093,0.2939030745179781,12.476360864260716
2005,education,Education,0.13389121338912133,0.2381852551984877,10.429404180936638
2005,foreign_policy,Foreign Policy,0.1111111111111111,0.2,8.888888888888891
2005,health,Health,0.2077922077922078,0.218213058419244,1.0420850627036182
2005,security_defense,Security/Defense,0.07874015748031496,0.18198529411764705,10.324513663733208
2006,climate_environment,Climate/Environment,0.1590909090909091,0.2605633802816901,10.147247119078104
2006,economy,Economy,0.18,0.30405405405405406,12.405405405405407
2006,education,Education,0.21804511278195488,0.17802197802197803,-4.002313475997685
2006,foreign_policy,Foreign Policy,0.19230769230769232,0.28405797101449276,9.175027870680044
2006,health,Health,0.1624203821656051,0.16,-0.2420382165605084
2006,security_defense,Security/Defense,0.13333333333333333,0.20781032078103207,7.447698744769873
2007,climate_environment,Climate/Environment,0.11842105263157894,0.244,12.557894736842107
2007,economy,Economy,0.1776061776061776,0.28561782579338285,10.801164818720524
2007,education,Education,0.205,0.21227621483375958,0.7276214833759592
2007,health,Health,0.1509433962264151,0.23678646934460887,8.584307311819378
2007,security_defense,Security/Defense,0.19047619047619047,0.16304347826086957,-2.7432712215320896
2008,climate_environment,Climate/Environment,0.144,0.24584103512014788,10.184103512014788
2008,economy,Economy,0.215311004784689,0.29509525739764897,7.978425261295996
2008,education,Education,0.21673003802281368,0.147239263803681,-6.949077421913269
2008,foreign_policy,Foreign Policy,0.14583333333333334,0.15639810426540285,1.0564770932069507
2008,health,Health,0.20198675496688742,0.17375231053604437,-2.8234444430843055
2008,security_defense,Security/Defense,0.10869565217391304,0.19189765458422176,8.320200241030872
2009,climate_environment,Climate/Environment,0.10891089108910891,0.22170361726954493,11.279272618043603
2009,economy,Economy,0.15221579961464354,0.2873170731707317,13.510127355608814
2009,education,Education,0.29081632653061223,0.16515151515151516,-12.566481137909708
2009,foreign_policy,Foreign Policy,0.04838709677419355,0.1404494382022472,9.206234142805366
2009,health,Health,0.165625,0.1378026070763501,-2.7822392923649906
2009,security_defense,Security/Defense,0.10679611650485436,0.16140350877192983,5.460739226707546
2010,climate_environment,Climate/Environment,0.19047619047619047,0.20433996383363473,1.3863773357444265
2010,economy,Economy,0.21875,0.2451219512195122,2.637195121951219
2010,education,Education,0.2542372881355932,0.16104868913857678,-9.318859899701643
2010,foreign_policy,Foreign Policy,0.10714285714285714,0.1301775147928994,2.303465765004227
